;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
0;1HOPSAT;USA;Hera Systems;Commercial;Earth Observation;Technology Development;LEO;22.0;;2019;0.5;Hera Systems;USA;PSLV;Pathfinder for planned earth observation constellation.;USA;USA;India;earth_observation_and_surveillance
1;3Cat-1;Spain;Universitat Politècnica de Catalunya;Civil;Technology Development;;LEO;4.0;;2018;;Universitat Politècnica de Catalunya;Spain;PSLV;Student built.;EU;EU;India;increase_mission_performance_and_technology
2;Aalto-1;Finland;Aalto University;Civil;Technology Development;;LEO;4.5;;2017;2.0;Aalto University;Finland;PSLV;Technology development and education.;EU;EU;India;increase_mission_performance_and_technology
3;AAUSat-4;Denmark;University of Aalborg;Civil;Earth Observation;Automatic Identification System (AIS);LEO;1.0;;2016;;University of Aalborg;Denmark;Soyuz 2.1a;Carries AIS system.;EU;EU;Russia;earth_observation_and_surveillance
4;ABS-2;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;6330.0;;2014;15.0;Space Systems/Loral;USA;Ariane 5 ECA;32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.;Int_coop;USA;EU;communication_and_positionning
5;ABS-2A;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;1800.0;;2016;15.0;Boeing Satellite Systems;USA;Falcon 9;;Int_coop;USA;USA;communication_and_positionning
6;ABS-3A;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;2000.0;;2015;15.0;Boeing Satellite Systems;USA;Falcon 9;Coverage of Americas Europe and Africa.;Int_coop;USA;USA;communication_and_positionning
7;ABS-4;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;4143.0;1700;2004;12.0;Space Systems/Loral;USA;Atlas 3;Purchased by ABS in 2013.;Int_coop;USA;USA;communication_and_positionning
11;USA 171;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;GEO;4500.0;;2003;;TRW Space and Electronics;USA;Titan IV;Electronic intelligence (ELINT). ;USA;USA;USA;earth_observation_and_surveillance
12;USA 202;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;GEO;5000.0;;2009;;National Reconnaissance Laboratory (?);USA;Delta 4 Heavy;ELINT.;USA;USA;USA;earth_observation_and_surveillance
13;USA 223;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;GEO;5000.0;;2010;;National Reconnaissance Laboratory (?);USA;Delta 4 Heavy;ELINT.;USA;USA;USA;earth_observation_and_surveillance
14;USA 237;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;GEO;5000.0;;2012;;National Reconnaissance Laboratory (?);USA;Delta 4 Heavy;ELINT.;USA;USA;USA;earth_observation_and_surveillance
15;USA 268;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;GEO;5000.0;;2016;;National Reconnaissance Laboratory (?);USA;Delta 4 Heavy;ELINT.;USA;USA;USA;earth_observation_and_surveillance
16;USA 235;USA;US Air Force;Military;Communications;;GEO;6169.0;;2012;14.0;Lockheed Martin Space Systems;USA;Atlas 5;Second in constellation.;USA;USA;USA;communication_and_positionning
17;USA 246;USA;US Air Force;Military;Communications;;GEO;6169.0;;2013;14.0;Lockheed Martin Space Systems;USA;Atlas 5;Third in constellation.;USA;USA;USA;communication_and_positionning
18;USA 288;USA;US Air Force;Military;Communications;;GEO;6169.0;;2018;;Lockheed Martin Space Systems;USA;Atlas 5;;USA;USA;USA;communication_and_positionning
19;USA 292;USA;US Air Force;Military;Communications;;GEO;6169.0;;2019;;Lockheed Martin Space Systems;USA;Atlas 5;;USA;USA;USA;communication_and_positionning
20;USA 298;USA;US Air Force ;Military;Communications;;GEO;6169.0;;2020;;Lockheed Martin Space Systems;USA;Atlas 5;;USA;USA;USA;communication_and_positionning
21;Aeneas;USA;Department of Homeland Security;Government;Technology Development;;LEO;3.0;;2012;;University of Southern California;USA;Atlas 5;Demonstration program to track cargo containers worldwide.;USA;USA;USA;increase_mission_performance_and_technology
22;Aeolus;ESA;European Space Agency (ESA);Government;Earth Observation;Earth Science;LEO;1367.0;;2018;3.0;Airbus Defense and Space;France/UK/Germany/Spain;Vega;Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.;EU;ROW;EU;earth_observation_and_surveillance
23;Aerocube 10A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2019;;Aerospace Corporation;USA;Nanorack Deployer;;USA;USA;USA;increase_mission_performance_and_technology
24;Aerocube 10B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2019;;Aerospace Corporation;USA;Nanorack Deployer;;USA;USA;USA;increase_mission_performance_and_technology
25;Aerocube 11A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;4.0;;2018;;Aerospace Corporation;USA;Electron;Will test miniaturized imagers.;USA;USA;USA;increase_mission_performance_and_technology
26;Aerocube 11B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;4.0;;2018;;Aerospace Corporation;USA;Electron;Will test miniaturized imagers.;USA;USA;USA;increase_mission_performance_and_technology
27;Aerocube 12A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;4.0;;2018;;Aerospace Corporation;USA;Nanorack Deployer;;USA;USA;USA;increase_mission_performance_and_technology
28;Aerocube 12B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;4.0;;2018;;Aerospace Corporation;USA;Nanorack Deployer;;USA;USA;USA;increase_mission_performance_and_technology
29;Aerocube 14A;USA;Aerospace Corporation;Military;Technology Development;;LEO;;;2020;;Aerospace Corporation;USA;Nanorack Deployer;Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.;USA;USA;USA;increase_mission_performance_and_technology
30;Aerocube 14B;USA;Aerospace Corporation;Military;Technology Development;;LEO;;;2020;;Aerospace Corporation;USA;Nanorack Deployer;Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.;USA;USA;USA;increase_mission_performance_and_technology
31;Aerocube 15A;USA;Aerospace Corporation;Military;Technology Development;;LEO;;;2020;;Aerospace Corporation;USA;Nanorack Deployer;Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.;USA;USA;USA;increase_mission_performance_and_technology
